context,question,category,answer
The university is throwing a carnival party for kids.,When did the carnival party begin?,Typical Time, 12:00 PM
The university is throwing a carnival party for kids.,What happens after the carnival party?,Event Ordering, the kids go home
The university is throwing a carnival party for kids.,Is the carnival party tomorrow?,Stationarity, no
Ian is looking for his green folder. Sophie hasn't seen it but maybe Alex will know.,How often does Ian look for his green folder?,Frequency, every day
Ian is looking for his green folder. Sophie hasn't seen it but maybe Alex will know.,How long has Ian been looking for his green folder?,Event Duration, 1 hour
Ian is looking for his green folder. Sophie hasn't seen it but maybe Alex will know.,What did he do after finding the folder?,Event Ordering, he opened it
Simon will talk to Adrian in 5 minutes.,How many times a week does Adrian talk to Adrian?,Frequency, once
Simon will talk to Adrian in 5 minutes.,How long will the talk take?,Event Duration, 10 minutes
Simon will talk to Adrian in 5 minutes.,When will they talk to Adrian?,Typical Time, 12:00 PM
Simon will talk to Adrian in 5 minutes.,What happens after Adrian talks to the other person?,Event Ordering, they go home
Simon will talk to Adrian in 5 minutes.,Is Adrian still talking to Adrian tomorrow?,Stationarity, no
Jen is about to break up with her boyfriend. Jane knew from the beginning that they were not a good match. Jane is going to support Jen.,How often does Jane break up with her boyfriend?,Frequency, once
Jen is about to break up with her boyfriend. Jane knew from the beginning that they were not a good match. Jane is going to support Jen.,When did Jane break up with her boyfriend?,Typical Time, 12:00 PM
Jen is about to break up with her boyfriend. Jane knew from the beginning that they were not a good match. Jane is going to support Jen.,What happens after Jane breaks up with her boyfriend?,Event Ordering, she moves on
Jen is about to break up with her boyfriend. Jane knew from the beginning that they were not a good match. Jane is going to support Jen.,Is Jane still supporting Jen after the breakup?,Stationarity, yes
Poppy is not going to be home tonight but she won't reveal the reason to Dean. She won't be making dinner so Dean has to get something on his way home.,How many times a week does Poppy eat?,Frequency, 3 times a week
Poppy is not going to be home tonight but she won't reveal the reason to Dean. She won't be making dinner so Dean has to get something on his way home.,How long will Poppy be home tonight?,Event Duration, 10:00 PM
Poppy is not going to be home tonight but she won't reveal the reason to Dean. She won't be making dinner so Dean has to get something on his way home.,When did Poppy go to home?,Typical Time, 10:00 PM
Poppy is not going to be home tonight but she won't reveal the reason to Dean. She won't be making dinner so Dean has to get something on his way home.,What happened after she was home after the reason?,Event Ordering, she made dinner
Poppy is not going to be home tonight but she won't reveal the reason to Dean. She won't be making dinner so Dean has to get something on his way home.,Is she still at home tonight?,Stationarity, no
Gab wants to meet Kat in real life. Kat doesn't like Gab's insisting so she won't to talk to him at all.,How often does Gab meet with Kat?,Frequency, once
Gab wants to meet Kat in real life. Kat doesn't like Gab's insisting so she won't to talk to him at all.,How long does she talk to her?,Event Duration, 10 minutes
Gab wants to meet Kat in real life. Kat doesn't like Gab's insisting so she won't to talk to him at all.,When did she meet with Kat?,Typical Time, 12:00 PM
Gab wants to meet Kat in real life. Kat doesn't like Gab's insisting so she won't to talk to him at all.,What happens after she isn't talking to him?,Event Ordering, she goes home
Agatha is proud of herself because she has finished her presentation in Economics. She is very interested in Economics.,How many times a week does Agatha make her presentation?,Frequency, once
Agatha is proud of herself because she has finished her presentation in Economics. She is very interested in Economics.,How long did the presentation last?,Event Duration, 1 hour
Agatha is proud of herself because she has finished her presentation in Economics. She is very interested in Economics.,When did she finish the presentation?,Typical Time, 12:00 PM
Agatha is proud of herself because she has finished her presentation in Economics. She is very interested in Economics.,What happened after she finished her presentation?,Event Ordering, she got a good grade
Agatha is proud of herself because she has finished her presentation in Economics. She is very interested in Economics.,Is Agatha still interested in Economics after finishing her presentation?,Stationarity, yes
"Imagine Dragons have a concert at ABC Theatre on 12 July. Sally wants to go with Tim. She bought tickets, they cost 70.",How often does Sally go to concerts?,Frequency, once a month
"Imagine Dragons have a concert at ABC Theatre on 12 July. Sally wants to go with Tim. She bought tickets, they cost 70.",How long does the concert last?,Event Duration, 2 hours
"Imagine Dragons have a concert at ABC Theatre on 12 July. Sally wants to go with Tim. She bought tickets, they cost 70.",When did she go to the concert hall?,Typical Time, 7:00 PM
"Imagine Dragons have a concert at ABC Theatre on 12 July. Sally wants to go with Tim. She bought tickets, they cost 70.",What happens after she buys the tickets?,Event Ordering, she goes to the concert
"Imagine Dragons have a concert at ABC Theatre on 12 July. Sally wants to go with Tim. She bought tickets, they cost 70.",Is Sally still at the ABC Theatre?,Stationarity, no
Andrew has discovered an issue with Bez's car in her absence but it seems to be ok. He will also take care of her plants until she is back on the 21st.,How many times a week does Andrew take care of her plants?,Frequency, once
Andrew has discovered an issue with Bez's car in her absence but it seems to be ok. He will also take care of her plants until she is back on the 21st.,How long has the problem been discovered?,Event Duration, 2 days
Andrew has discovered an issue with Bez's car in her absence but it seems to be ok. He will also take care of her plants until she is back on the 21st.,When did Andrew take care of her plants?,Typical Time, 12:00 PM
Andrew has discovered an issue with Bez's car in her absence but it seems to be ok. He will also take care of her plants until she is back on the 21st.,What happened after she took care of the plants?,Event Ordering, she went to bed
Laura is going to visit her parents next Saturday. Keith might make a lasagne for her. Laura's mom has a birthday gift for her.,How many times a week does Laura visit her parents?,Frequency, once
Laura is going to visit her parents next Saturday. Keith might make a lasagne for her. Laura's mom has a birthday gift for her.,How long will it take to visit the parents?,Event Duration, 2 hours
Laura is going to visit her parents next Saturday. Keith might make a lasagne for her. Laura's mom has a birthday gift for her.,When did she go to the store?,Typical Time, 12:00 PM
Pegah is in class till 15:00. She will work from 17:00 till around 21:30. She will be back at 22:00. Miriam invited people over and wants Pegah to come. Pegah will have a cup of tea with her when she gets back. Miriam will save Pegah some wine.,How many times a week does Pegah go to work?,Frequency, 5 times
Pegah is in class till 15:00. She will work from 17:00 till around 21:30. She will be back at 22:00. Miriam invited people over and wants Pegah to come. Pegah will have a cup of tea with her when she gets back. Miriam will save Pegah some wine.,How long will Pegah be in class?,Event Duration, 1 hour
Pegah is in class till 15:00. She will work from 17:00 till around 21:30. She will be back at 22:00. Miriam invited people over and wants Pegah to come. Pegah will have a cup of tea with her when she gets back. Miriam will save Pegah some wine.,When did Pegah go to work?,Typical Time, 17:00
